CustomerID,Recency,Frequency,Monetary,RFM_Segment
12346.0,326,1,77183.6,326.0-1.0-77183.6
12347.0,2,7,4310.0,2.0-7.0-4310.0
12348.0,75,4,1797.24,75.0-4.0-1797.24
12349.0,19,1,1757.55,19.0-1.0-1757.55
12350.0,310,1,334.4,310.0-1.0-334.4
12352.0,36,8,2506.04,36.0-8.0-2506.04
12353.0,204,1,89.0,204.0-1.0-89.0
12354.0,232,1,1079.4,232.0-1.0-1079.4
12355.0,214,1,459.4,214.0-1.0-459.4
12356.0,23,3,2811.43,23.0-3.0-2811.43
12357.0,33,1,6207.67,33.0-1.0-6207.67
12358.0,2,2,1168.06,2.0-2.0-1168.06
12359.0,58,4,6310.03,58.0-4.0-6310.03
12360.0,52,3,2662.06,52.0-3.0-2662.06
12361.0,287,1,189.9,287.0-1.0-189.9
12362.0,3,10,5226.23,3.0-10.0-5226.23
12363.0,110,2,552.0,110.0-2.0-552.0
12364.0,8,4,1313.1,8.0-4.0-1313.1
12365.0,291,2,641.38,291.0-2.0-641.38
12367.0,4,1,168.9,4.0-1.0-168.9
12370.0,51,4,3541.94,51.0-4.0-3541.94
12371.0,45,2,1887.96,45.0-2.0-1887.96
12372.0,72,3,1298.04,72.0-3.0-1298.04
12373.0,311,1,364.6,311.0-1.0-364.6
12374.0,25,1,742.9300000000001,25.0-1.0-742.9300000000001
12375.0,11,2,457.5,11.0-2.0-457.5
12377.0,315,2,1628.12,315.0-2.0-1628.12
12378.0,130,1,4008.62,130.0-1.0-4008.62
12379.0,82,2,852.24,82.0-2.0-852.24
12380.0,22,4,2724.81,22.0-4.0-2724.81
12381.0,5,5,1845.31,5.0-5.0-1845.31
12383.0,185,5,1850.56,185.0-5.0-1850.56
12384.0,29,2,585.27,29.0-2.0-585.27
12386.0,338,2,401.9,338.0-2.0-401.9
12388.0,16,6,2780.66,16.0-6.0-2780.66
12390.0,80,1,549.84,80.0-1.0-549.84
12391.0,22,1,439.66,22.0-1.0-439.66
12393.0,72,4,1582.6000000000001,72.0-4.0-1582.6000000000001
12394.0,64,2,1272.48,64.0-2.0-1272.48
12395.0,19,12,3018.63,19.0-12.0-3018.63
12397.0,36,2,2409.9,36.0-2.0-2409.9
12398.0,46,1,1635.6599999999999,46.0-1.0-1635.6599999999999
12399.0,119,4,1108.65,119.0-4.0-1108.65
12401.0,303,1,84.3,303.0-1.0-84.3
12402.0,323,1,225.6,323.0-1.0-225.6
12403.0,50,1,427.7,50.0-1.0-427.7
12405.0,149,1,1710.39,149.0-1.0-1710.39
12406.0,22,2,3415.3,22.0-2.0-3415.3
12407.0,50,5,1708.1200000000001,50.0-5.0-1708.1200000000001
12408.0,33,5,2888.55,33.0-5.0-2888.55
12409.0,79,3,11072.67,79.0-3.0-11072.67
12410.0,309,2,693.3299999999999,309.0-2.0-693.3299999999999
12412.0,75,3,1226.88,75.0-3.0-1226.88
12413.0,67,3,758.1,67.0-3.0-758.1
12414.0,217,3,562.41,217.0-3.0-562.41
12415.0,24,21,124914.53,24.0-21.0-124914.53
12417.0,3,9,3649.1,3.0-9.0-3649.1
12418.0,113,1,668.58,113.0-1.0-668.58
12420.0,64,1,600.39,64.0-1.0-600.39
12421.0,16,4,807.04,16.0-4.0-807.04
12422.0,96,3,803.5600000000001,96.0-3.0-803.5600000000001
12423.0,1,8,1859.31,1.0-8.0-1859.31
12424.0,163,2,1760.96,163.0-2.0-1760.96
12425.0,78,1,777.2,78.0-1.0-777.2
12426.0,195,1,582.73,195.0-1.0-582.73
12427.0,22,3,825.8,22.0-3.0-825.8
12428.0,26,9,7956.46,26.0-9.0-7956.46
12429.0,9,4,3750.4,9.0-4.0-3750.4
12430.0,43,1,256.4,43.0-1.0-256.4
12431.0,36,15,6419.95,36.0-15.0-6419.95
12432.0,43,5,5059.32,43.0-5.0-5059.32
12433.0,1,7,13375.87,1.0-7.0-13375.87
12434.0,85,2,806.14,85.0-2.0-806.14
12435.0,80,2,7829.89,80.0-2.0-7829.89
12436.0,100,1,509.01,100.0-1.0-509.01
12437.0,2,18,4951.41,2.0-18.0-4951.41
12438.0,14,2,2906.85,14.0-2.0-2906.85
12441.0,367,1,173.55,367.0-1.0-173.55
12442.0,3,1,172.06,3.0-1.0-172.06
12444.0,21,5,5005.46,21.0-5.0-5005.46
12445.0,22,1,133.4,22.0-1.0-133.4
12446.0,58,1,1002.3100000000001,58.0-1.0-1002.3100000000001
12447.0,243,1,476.49,243.0-1.0-476.49
12448.0,44,1,449.45,44.0-1.0-449.45
12449.0,22,4,4067.29,22.0-4.0-4067.29
12450.0,156,2,197.88,156.0-2.0-197.88
12451.0,11,5,9035.52,11.0-5.0-9035.52
12452.0,17,2,430.57,17.0-2.0-430.57
12453.0,134,1,707.09,134.0-1.0-707.09
12454.0,56,1,3528.34,56.0-1.0-3528.34
12455.0,73,6,2466.86,73.0-6.0-2466.86
12456.0,44,3,3181.04,44.0-3.0-3181.04
12457.0,66,7,2363.23,66.0-7.0-2363.23
12458.0,71,2,947.4,71.0-2.0-947.4
12461.0,94,2,826.88,94.0-2.0-826.88
12462.0,19,2,1189.59,19.0-2.0-1189.59
12463.0,53,4,1344.78,53.0-4.0-1344.78
12464.0,10,8,1212.05,10.0-8.0-1212.05
12465.0,17,2,742.1899999999999,17.0-2.0-742.1899999999999
12468.0,188,2,729.5400000000001,188.0-2.0-729.5400000000001
12471.0,2,30,19788.65,2.0-30.0-19788.65
12472.0,32,7,6572.11,32.0-7.0-6572.11
12473.0,29,5,3928.0499999999997,29.0-5.0-3928.0499999999997
12474.0,17,18,7324.09,17.0-18.0-7324.09
12475.0,54,1,723.38,54.0-1.0-723.38
12476.0,16,11,6816.42,16.0-11.0-6816.42
12477.0,23,6,13219.74,23.0-6.0-13219.74
12478.0,4,1,680.99,4.0-1.0-680.99
12479.0,11,1,527.2,11.0-1.0-527.2
12480.0,28,4,3281.63,28.0-4.0-3281.63
12481.0,23,10,5579.82,23.0-10.0-5579.82
12483.0,17,8,2484.98,17.0-8.0-2484.98
12484.0,33,6,4527.32,33.0-6.0-4527.32
12488.0,10,3,1298.66,10.0-3.0-1298.66
12489.0,336,1,334.93,336.0-1.0-334.93
12490.0,5,10,5417.93,5.0-10.0-5417.93
12491.0,39,1,460.40000000000003,39.0-1.0-460.40000000000003
12492.0,63,2,263.21000000000004,63.0-2.0-263.21000000000004
12493.0,166,2,433.74,166.0-2.0-433.74
12494.0,16,7,1246.1000000000001,16.0-7.0-1246.1000000000001
12497.0,82,1,1043.1,82.0-1.0-1043.1
12498.0,21,3,403.70000000000005,21.0-3.0-403.70000000000005
12500.0,23,11,4257.82,23.0-11.0-4257.82
12501.0,337,1,2169.39,337.0-1.0-2169.39
12502.0,96,5,3723.87,96.0-5.0-3723.87
12504.0,18,2,482.04999999999995,18.0-2.0-482.04999999999995
12506.0,233,1,73.5,233.0-1.0-73.5
12507.0,134,3,1304.81,134.0-3.0-1304.81
12508.0,26,2,397.88,26.0-2.0-397.88
12509.0,284,1,176.5,284.0-1.0-176.5
12510.0,143,2,982.5699999999999,143.0-2.0-982.5699999999999
12512.0,66,2,132.18,66.0-2.0-132.18
12513.0,113,1,612.29,113.0-1.0-612.29
12514.0,267,1,1017.68,267.0-1.0-1017.68
12515.0,353,1,383.7,353.0-1.0-383.7
12516.0,78,2,1312.06,78.0-2.0-1312.06
12517.0,28,5,2481.6,28.0-5.0-2481.6
12518.0,1,5,2056.89,1.0-5.0-2056.89
12519.0,64,1,330.84,64.0-1.0-330.84
12520.0,79,5,2634.26,79.0-5.0-2634.26
12521.0,143,1,599.68,143.0-1.0-599.68
12522.0,39,2,192.72,39.0-2.0-192.72
12523.0,19,11,1789.77,19.0-11.0-1789.77
12524.0,9,8,4485.72,9.0-8.0-4485.72
12526.0,1,3,1316.66,1.0-3.0-1316.66
12527.0,82,3,348.71000000000004,82.0-3.0-348.71000000000004
12528.0,9,6,1933.48,9.0-6.0-1933.48
12530.0,60,4,1662.28,60.0-4.0-1662.28
12531.0,15,1,125.22,15.0-1.0-125.22
12532.0,30,1,349.83000000000004,30.0-1.0-349.83000000000004
12534.0,131,1,1089.18,131.0-1.0-1089.18
12535.0,92,2,716.35,92.0-2.0-716.35
12536.0,43,3,12601.830000000002,43.0-3.0-12601.830000000002
12538.0,29,1,363.95,29.0-1.0-363.95
12539.0,22,4,5568.35,22.0-4.0-5568.35
12540.0,20,17,13400.24,20.0-17.0-13400.24
12541.0,30,3,981.18,30.0-3.0-981.18
12544.0,36,1,372.7,36.0-1.0-372.7
12545.0,75,2,1000.39,75.0-2.0-1000.39
12546.0,47,2,1161.5,47.0-2.0-1161.5
12547.0,198,2,207.79999999999998,198.0-2.0-207.79999999999998
12548.0,166,1,95.19999999999999,166.0-1.0-95.19999999999999
12550.0,79,1,964.83,79.0-1.0-964.83
12551.0,358,1,168.0,358.0-1.0-168.0
12552.0,39,2,437.82,39.0-2.0-437.82
12553.0,8,10,3692.28,8.0-10.0-3692.28
12556.0,50,2,599.56,50.0-2.0-599.56
12557.0,16,5,11990.960000000001,16.0-5.0-11990.960000000001
12558.0,8,1,269.96,8.0-1.0-269.96
12559.0,311,2,561.71,311.0-2.0-561.71
12560.0,5,3,2134.01,5.0-3.0-2134.01
12561.0,303,1,238.85,303.0-1.0-238.85
12562.0,8,7,3781.7400000000002,8.0-7.0-3781.7400000000002
12564.0,261,1,456.9,261.0-1.0-456.9
12565.0,289,1,145.92,289.0-1.0-145.92
12566.0,86,1,351.65,86.0-1.0-351.65
12567.0,23,10,9401.28,23.0-10.0-9401.28
12569.0,2,32,4124.69,2.0-32.0-4124.69
12571.0,40,2,519.61,40.0-2.0-519.61
12572.0,9,2,1020.42,9.0-2.0-1020.42
12573.0,227,1,160.54000000000002,227.0-1.0-160.54000000000002
12574.0,316,1,218.45,316.0-1.0-218.45
12576.0,36,5,1315.83,36.0-5.0-1315.83
12577.0,35,3,626.6,35.0-3.0-626.6
12578.0,21,2,2794.51,21.0-2.0-2794.51
12579.0,78,1,440.42,78.0-1.0-440.42
12580.0,247,1,415.7,247.0-1.0-415.7
12581.0,40,1,197.71,40.0-1.0-197.71
12582.0,239,2,511.36,239.0-2.0-511.36
12583.0,3,15,7281.38,3.0-15.0-7281.38
12584.0,4,9,2338.15,4.0-9.0-2338.15
12585.0,234,2,2040.1,234.0-2.0-2040.1
12586.0,17,1,196.94000000000003,17.0-1.0-196.94000000000003
12587.0,8,1,144.0,8.0-1.0-144.0
12588.0,39,1,214.89999999999998,39.0-1.0-214.89999999999998
12589.0,29,2,646.68,29.0-2.0-646.68
12590.0,211,2,9864.26,211.0-2.0-9864.26
12591.0,317,1,452.84999999999997,317.0-1.0-452.84999999999997
12592.0,92,2,437.6,92.0-2.0-437.6
12593.0,109,3,418.09999999999997,109.0-3.0-418.09999999999997
12594.0,38,10,3338.2200000000003,38.0-10.0-3338.2200000000003
12596.0,51,2,618.27,51.0-2.0-618.27
12597.0,19,4,3811.22,19.0-4.0-3811.22
12598.0,10,8,3023.08,10.0-8.0-3023.08
12599.0,29,7,1032.58,29.0-7.0-1032.58
12600.0,29,10,2599.04,29.0-10.0-2599.04
